name,featureType,code,lat,lng
Abbotsford,City,1,49.052222,-122.329167
Armstrong,City,1,50.448333,-119.196667
Burnaby,City,1,49.242778,-122.972778
Campbell River,City,1,50.023056,-125.243611
Castlegar,City,1,49.324444,-117.666944
Chilliwack,City,1,49.157778,-121.950833
Colwood,City,1,48.423611,-123.493333
Coquitlam,City,1,49.284167,-122.793611
Courtenay,City,1,49.689444,-124.995833
Cranbrook,City,1,49.508056,-115.746944
Dawson Creek,City,1,55.760556,-120.235556
Delta,City,1,49.084722,-123.058611
Duncan,City,1,48.778611,-123.708056
Enderby,City,1,50.550556,-119.139444
Fernie,City,1,49.504167,-115.062778
Fort St. John,City,1,56.2525,-120.846667
Grand Forks,City,1,49.031111,-118.439167
Greenwood,City,1,49.088333,-118.676389
Kamloops,City,1,50.675833,-120.339444
Kelowna,City,1,49.888056,-119.495556
Kimberley,City,1,49.685,-115.981667
Langford,City,1,48.449722,-123.504444
Langley,City,1,49.1025,-122.658056
Maple Ridge,City,1,49.22,-122.598889
Merritt,City,1,50.1125,-120.788333
Nanaimo,City,1,49.163889,-123.938056
Nelson,City,1,49.493333,-117.295833
New Westminster,City,1,49.206667,-122.910556
North Vancouver,City,1,49.320556,-123.073889
Parksville,City,1,49.318056,-124.311389
Penticton,City,1,49.500833,-119.593889
Pitt Meadows,City,1,49.220556,-122.690278
Port Alberni,City,1,49.234444,-124.805833
Port Coquitlam,City,1,49.261944,-122.780278
Port Moody,City,1,49.282222,-122.829444
Powell River,City,1,49.835556,-124.524444
Prince George,City,1,53.913056,-122.745278
Prince Rupert,City,1,54.312778,-130.325278
Quesnel,City,1,52.979722,-122.493611
Revelstoke,City,1,50.998889,-118.195833
Richmond,City,1,49.163333,-123.163333
Rossland,City,1,49.076944,-117.802222
Salmon Arm,City,1,50.701389,-119.278056
Surrey,City,1,49.111667,-122.8275
Terrace,City,1,54.516389,-128.599722
Trail,City,1,49.094444,-117.709167
Vancouver,City,1,49.261111,-123.113889
Vernon,City,1,50.265833,-119.271667
Victoria,City,1,48.428333,-123.364722
"West Kelowna, City of",City,1,49.83,-119.628611
White Rock,City,1,49.023611,-122.798333
